sales_year,sales_month,commodity_name,current_price,previous_month_price,mom_inflation_percent
2023,2,ONION,1797.21,1659,8.33
2023,3,ONION,1635.2,1797.21,-9.01
2023,4,ONION,1661.65,1635.2,1.62
2023,5,ONION,1675.6,1661.65,0.84
2023,6,ONION,1507.34,1675.6,-10.04
2023,7,ONION,1684.79,1507.34,11.77
2023,8,ONION,2124.74,1684.79,26.11
2023,9,ONION,1562.12,2124.74,-26.48
2023,10,ONION,1714.08,1562.12,9.73
2023,11,ONION,1643.49,1714.08,-4.12
2023,12,ONION,1591.71,1643.49,-3.15
2024,1,ONION,2391.2,1591.71,50.23
2024,2,ONION,2406.77,2391.2,0.65
2024,3,ONION,2382.96,2406.77,-0.99
2024,4,ONION,2414.75,2382.96,1.33
2024,5,ONION,2414.56,2414.75,-0.01
2024,6,ONION,3180.62,2414.56,31.73
2024,7,ONION,3337.5,3180.62,4.93
2024,8,ONION,3626.99,3337.5,8.67
2024,9,ONION,4090.61,3626.99,12.78
2024,10,ONION,4186.39,4090.61,2.34
2024,11,ONION,4285.31,4186.39,2.36
2024,12,ONION,3237.23,4285.31,-24.46
2025,1,ONION,2390.69,3237.23,-26.15
2025,2,ONION,2938.66,2390.69,22.92
2025,3,ONION,2461.26,2938.66,-16.25
2025,4,ONION,1883.27,2461.26,-23.48
2025,5,ONION,1769.51,1883.27,-6.04
2025,6,ONION,2300.08,1769.51,29.98
2025,7,ONION,2303.87,2300.08,0.16
2025,8,ONION,2273.13,2303.87,-1.33
2025,9,ONION,2231.23,2273.13,-1.84
2025,10,ONION,2219.53,2231.23,-0.52
2025,11,ONION,2325.38,2219.53,4.77
2025,12,ONION,2379.77,2325.38,2.34
2023,2,POTATO,1439.93,1408.83,2.21
2023,3,POTATO,1403.38,1439.93,-2.54
2023,4,POTATO,1441.88,1403.38,2.74
2023,5,POTATO,1341.8,1441.88,-6.94
2023,6,POTATO,1350.99,1341.8,0.68
2023,7,POTATO,1454.62,1350.99,7.67
2023,8,POTATO,1471.56,1454.62,1.16
2023,9,POTATO,1392.55,1471.56,-5.37
2023,10,POTATO,1393.21,1392.55,0.05
2023,11,POTATO,1363.91,1393.21,-2.1
2023,12,POTATO,1343.12,1363.91,-1.52
2024,1,POTATO,1568.57,1343.12,16.79
2024,2,POTATO,1656.3,1568.57,5.59
2024,3,POTATO,1886.58,1656.3,13.9
2024,4,POTATO,2045.23,1886.58,8.41
2024,5,POTATO,2144.07,2045.23,4.83
2024,6,POTATO,2110.39,2144.07,-1.57
2024,7,POTATO,2862.13,2110.39,35.62
2024,8,POTATO,2885.16,2862.13,0.8
2024,9,POTATO,2810.19,2885.16,-2.6
2024,10,POTATO,2886.26,2810.19,2.71
2024,11,POTATO,2840.98,2886.26,-1.57
2024,12,POTATO,2623.81,2840.98,-7.64
2025,1,POTATO,2211.42,2623.81,-15.72
2025,2,POTATO,1872.36,2211.42,-15.33
2025,3,POTATO,1809.59,1872.36,-3.35
2025,4,POTATO,1799.44,1809.59,-0.56
2025,5,POTATO,1952.65,1799.44,8.51
2025,6,POTATO,2003.28,1952.65,2.59
2025,7,POTATO,1910.68,2003.28,-4.62
2025,8,POTATO,1964.24,1910.68,2.8
2025,9,POTATO,1989.83,1964.24,1.3
2025,10,POTATO,1854.24,1989.83,-6.81
2025,11,POTATO,1941.91,1854.24,4.73
2025,12,POTATO,1901.05,1941.91,-2.1
2023,2,TOMATO,6377.02,6150.55,3.68
2023,3,TOMATO,6341.45,6377.02,-0.56
2023,4,TOMATO,6765.62,6341.45,6.69
2023,5,TOMATO,7245.6,6765.62,7.09
2023,6,TOMATO,2927.18,7245.6,-59.6
2023,7,TOMATO,7202.36,2927.18,146.05
2023,8,TOMATO,4381.42,7202.36,-39.17
2023,9,TOMATO,3652.09,4381.42,-16.65
2023,10,TOMATO,4285.39,3652.09,17.34
2023,11,TOMATO,5256.21,4285.39,22.65
2023,12,TOMATO,4257.09,5256.21,-19.01
